,atss_count,bloc_count_relative,cloc_count_relative,dpt_count,etp_count,loc_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count_relative,nfl_count,nfmd_count_relative,nicd_count,nierr_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nnnv_count_relative,nnwv_count_relative,nsh_count,ntkn_count,ntnn_count_relative,nts_count,ntun_count_relative,ntvr_count,nun_count_relative,clusters
1297,8.0,0.0,0.0,2,-6.34,60,0.0,0.0,24,1.0,5,1,2,0.0,0.0,0.2,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,0,13,2.0,6.0,0.89,0.11,1.0,202,0.0,8.0,1.0,4.0,1.0,2
1298,3.0,0.0,0.0,2,-5.31,20,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,0.0,4.0,1.0,0.0,0.0,68,0.0,6.0,1.0,2.0,1.0,1
1299,7.0,0.0,0.0,2,-4.47,7,0.0,1.0,1,0.0,0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,1.0,0.0,0.0,35,1.0,1.0,0.0,6.0,1.0,1
1300,4.0,0.0,0.0,2,-5.7,24,0.0,0.0,9,0.0,2,0,0,0.0,0.0,0.33,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,2,3.0,4.0,1.0,0.0,0.0,91,0.67,6.0,0.33,9.0,1.0,0
1301,73.0,0.0,0.0,5,-5.52,73,0.0,1.0,24,0.0,0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,0.57,0.43,0.0,224,1.0,1.0,0.0,8.0,0.57,2
1302,10.0,0.0,0.0,3,-4.11,10,0.0,1.0,2,0.0,0,0,0,0.0,0.0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,1.0,0.0,0.0,21,1.0,1.0,0.0,2.0,1.0,1
1303,6.0,0.0,0.0,2,-6.32,42,0.0,0.0,16,1.0,8,1,1,0.0,0.0,0.22,0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,38,0,5,2.0,6.0,1.0,0.0,1.0,158,0.29,7.0,0.71,7.0,1.0,0
1304,184.0,0.0,0.0,6,-5.53,184,0.0,1.0,62,0.0,0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165,0,0,0.0,0.0,0.53,0.47,0.0,491,1.0,1.0,0.0,9.0,0.53,3
1305,28.0,0.0,0.0,3,-6.08,56,0.0,1.0,14,0.0,11,0,0,0.0,0.0,0.5,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0,5,0.0,1.0,0.64,0.36,0.0,181,1.0,2.0,0.0,4.0,0.64,0
1306,6.0,0.0,0.0,2,-4.79,14,0.0,0.0,5,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,0.0,2.0,1.0,0.0,1.0,49,0.0,2.0,1.0,4.0,1.0,1
1307,7.0,0.0,0.0,3,-4.06,7,0.0,1.0,1,0.0,0,1,1,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,1.0,0.0,0.0,18,1.0,1.0,0.0,1.0,1.0,1
1308,6.0,0.0,0.0,3,-6.42,95,0.0,2.0,20,0.0,6,0,0,0.0,0.0,0.18,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,0,8,1.0,6.0,1.0,0.0,0.0,266,0.0,16.0,1.0,9.0,1.0,2
1309,15.0,0.0,0.0,2,-5.02,46,0.0,0.0,7,0.0,7,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,2,0.0,3.0,1.0,0.0,0.0,89,0.0,3.0,1.0,0.0,0.12,0
1310,2.0,0.0,0.0,1,-2.81,2,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0.0,1.0,1.0,0.0,0.0,7,0.0,1.0,1.0,0.0,1.0,1
1311,5.0,0.0,0.0,3,-6.07,49,0.0,0.0,12,0.0,0,0,0,0.0,0.0,0.09,3,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0,0,1.0,5.0,0.88,0.12,0.0,150,0.3,10.0,0.5,8.0,0.75,0
1312,5.0,0.0,0.0,2,-5.13,16,0.0,0.0,3,0.0,1,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,1,1.0,2.0,1.0,0.0,0.0,54,0.0,3.0,1.0,2.0,1.0,1
1313,6.0,0.0,0.0,2,-3.88,12,0.0,1.0,2,0.0,3,0,0,0.0,0.0,0.5,0,0.0,0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,11,0,1,0.0,1.0,1.0,0.0,0.0,28,0.5,2.0,0.5,0.0,1.0,1
1314,3.0,0.0,0.0,1,-4.61,10,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.25,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,1.0,3.0,1.0,0.0,0.0,38,0.0,3.0,1.0,1.0,1.0,1
1315,6.0,0.0,0.0,3,-5.46,143,0.0,0.0,20,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127,0,0,0.0,3.0,0.53,0.47,0.0,395,0.13,23.0,0.78,19.0,0.47,3
1316,3.0,0.0,0.0,2,-5.53,68,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.15,0,0.0,0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,50,0,0,0.0,5.0,1.0,0.0,1.0,163,0.77,22.0,0.14,3.0,0.6,0
1317,6.0,0.0,0.0,2,-5.09,12,0.0,0.0,5,0.0,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,4,0.0,2.0,1.0,0.0,0.0,48,0.0,2.0,1.0,2.0,1.0,1
1318,7.0,0.0,0.0,2,-4.65,14,0.0,0.0,8,0.0,2,0,0,0.0,0.0,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,2,2.0,1.0,1.0,0.0,0.0,53,0.0,2.0,1.0,6.0,1.0,1
1319,6.0,0.0,0.0,2,-5.11,79,0.0,0.0,26,0.0,0,0,0,0.0,0.0,0.0,0,0.15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,0,0,0.0,3.0,0.72,0.28,0.0,250,0.0,13.0,0.38,6.0,0.28,2
1320,13.0,0.08,0.0,1,-5.36,39,0.0,0.0,9,3.0,3,0,0,0.0,0.0,0.5,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,3.0,1.0,1.0,0.0,0.0,125,0.0,3.0,1.0,6.0,1.0,0
1321,13.0,0.0,0.0,4,-5.79,40,0.0,1.0,5,0.0,3,0,0,0.0,0.0,0.33,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1,1,0.0,1.0,1.0,0.0,0.0,134,0.33,3.0,0.67,3.0,1.0,0
1322,12.0,0.02,0.0,3,-6.93,99,0.0,1.0,26,0.0,2,1,3,0.0,0.0,0.12,13,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0,3.0,6.0,0.95,0.05,1.0,363,0.12,8.0,0.88,20.0,1.0,2
1323,11.0,0.0,0.0,2,-5.48,57,0.0,0.0,8,0.0,2,0,0,0.0,0.0,0.38,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0,0,3.0,2.0,1.0,0.0,0.0,111,0.0,5.0,1.0,2.0,1.0,0
